,Date,Venue,JRAD or Event SBD/MTX,Audience Taper,Audience Audio,RAD Track (RTn) or Event Video,Audience Video (Substantial),VIP Soundcheck ,Personnel changes,Number of Items,Number of Breakouts,Show Number
34,2015-06-03 00:00:00,"Songs of Love Benefit, Webster Hall, NYC, NY",https://archive.org/details/jrad2015-06-03.cmc55.sbd.matrix.flac16,,None known,RT 50,,,,16,0,34
35,2015-06-05 00:00:00,"Mountain Jam Festival, Hunter Mountain, NY",,NYCtaper,https://archive.org/details/JRAD2015-06-05.nyctaper,,,,,6,0,35
36,2015-06-06 00:00:00,"Wakarusa Festival, Mulberry Mtn, Ozark, AR",https://archive.org/details/jrad2015-06-06.cmc621.sbd.matrix.flac16,,None known,,102 only - https://www.youtube.com/watch?v=mvzYopEIVlQ,,,8,0,36
37,2015-06-25 00:00:00,"Electric Forest, Rothbury, MI",,,None known,,,,,10,0,37
38,2015-07-05 00:00:00,"High Sierra Festival, Quincy, CA",,Nor-Cal Henry,https://archive.org/details/jrad2015-07-05.k41.bsc1,,,,,19,0,38
39,2015-07-10 00:00:00,"All Good Festival, Summit Point, WV",http://digitalsoundboard.net/allgoodfestival.html,Tonedeaf,https://archive.org/details/jrad2015-07-10.m934b_16bit,,,,,8,0,39
40,2015-08-08 00:00:00,"Arise Music Festival, Loveland, CO",,Patrick H,https://archive.org/details/JRAD2015-08-08,,,,,8,0,40
41,2015-08-14 00:00:00,"Peach Music Festival, Scranton, PA",,Scott Madeiros,https://archive.org/details/JRAD2015-08-14.JradPeachMusicFestivalScrantonPA,,,,,7,0,41
42,2015-08-22 00:00:00,"The Music Box, Cleveland, OH",https://archive.org/details/jrad2015-08-22.sbd.flac16,,None known,,,,,13,0,42
43,2015-09-04 00:00:00,"North Coast Music Festival, Union Park, Chicago, IL",,,None known,,,,,12,0,43
44,2015-09-06 00:00:00,"Great North Festival, Norridgewock, ME",,,None known,,,,,18,0,44
45,2015-09-19 00:00:00,"Harvest Jazz & Blues Festival, Fredericton, Canada",,Colin Waldschutz,https://archive.org/details/jrad2015-09-19.ca14.flac16,,,,,13,0,45
46,2015-10-02 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2015-10-02.cmc621.sbd.matrix.flac16,Z-man,http://bt.etree.org/details.php?id=582670,,,,DD played trumpet,16,0,46
47,2015-10-03 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2015-10-03.cmc621.sbd.matrix.flac16,,None known,RT 51-53-54-55,,,With Nicole Atkins,22,0,47
48,2015-10-04 00:00:00,"Brooklyn Bowl, Brooklyn, NY",https://archive.org/details/jrad2015-10-04.cmc621.sbd.matrix.flac16,Z-man,http://bt.etree.org/details.php?id=582710,RT 52,,,DD played trumpet,19,0,48
49,2015-10-28 00:00:00,"The Orange Peel, Asheville, NC",,Z-man,https://archive.org/details/jrad2015-10-28.flac16,,,, DD played trumpet,15,0,49
50,2015-10-29 00:00:00,"Suwannee Hulaween Pre- Party, Live Oak, FL",https://archive.org/details/jrad2015-10-29.cmc621.sbd.matrix.flac16,,None known,,104 mins only - https://www.youtube.com/watch?v=HkYVI7OWlTY,,,18,0,50
51,2015-10-30 00:00:00,"Music Farm, Charleston, SC",,Clay Brennecke,https://archive.org/details/jrad2015-10-30.brennecke.flac16,,,,,15,0,51
52,2015-10-31 00:00:00,"The Ritz, Raleigh, NC",,Robbie Dunn,https://archive.org/details/JRAD2015-10-31.mk4.flac16.RD,,,,,20,0,52
53,2015-11-27 00:00:00,"Paradise Rock Club, Boston, MA",,Andy Murray,https://archive.org/details/jrad2015-11-27.Schoeps.mk41v.sxr4.flac16,,,,,22,0,53
54,2015-11-28 00:00:00,"Paradise Rock Club, Boston, MA",,Andy Murray,https://archive.org/details/jrad2015-11-28.Schoeps.mk4v.sxr4.flac16,,,,,15,0,54
55,2015-12-11 00:00:00,"Brooklyn Bowl. Las Vegas, NV",https://archive.org/details/jrad2015-12-11.cmc621.sbd.matrix.flac16,,(No tapers?),,,St. Stephen > Greatest Story > T Jed > Greatest Story Reprise,,15,0,55
56,2015-12-12 00:00:00,"Fox Theater, Oakland, CA",https://archive.org/details/jrad2015-12-12.cmc621.sbd.matrix.flac16,Jeffrey Hellman,https://archive.org/details/jrad2015-12-12.zoom-h6.flac24,,,Help > Slipknot! > Uncle John's,,14,0,56
57,2015-12-19 00:00:00,"The Filmore, Denver, CO",https://archive.org/details/jrad2015-12-19.cmc621.sbd.matrix.flac16,Taper Corey (Kind Recordings),https://archive.org/details/jrad2015-12-19.audixhc.kindrec,RT81,,?,,14,0,57
58,2015-12-31 00:00:00,"The Filmore, Philadelphia, PA",https://archive.org/details/jrad2015-12-31.cmc65.sbd.matrix.flac16,Jeff Travitz,https://archive.org/details/JRAD2015-12-31.schoepsMK4V.travitz.flac16,RT57 RT78,,Help>Slip .Wheel,Set 2 Acoustic (193-199),25,0,58
59,2016-01-01 00:00:00,"Capitol Theater, Port Chester, NY",https://archive.org/details/jrad2016-01-01.mk41v.sbd.matrix.flac16,,?,"RT 58, 60",,Easy Wind> Big Railroad Blues,"Horn section for Set 2 & Encore - Altieri (Tuba), Bauder (Sax), Bogie (Sax), Mason (Trombone), McLean (Trumpet) ",20,0,59
60,2016-01-02 00:00:00,"Capitol Theater, Port Chester, NY",https://archive.org/details/jrad2016-01-02.mk41v.sbd.matrix.flac16,nico11104,https://archive.org/details/jrad2016-01-02.aud.senn441.wav16,RT 59,,Reuben & Cerise > GDTRFB,"""DD50"" - Supported by the Speakeasy Jazz Babies",23,0,60
61,2016-01-06 00:00:00,"Jam Cruise Pool Deck, The High Seas",Available only on the Cruise,,,,,,Nicole Atkins,14,0,61
62,2016-01-07 00:00:00,"Jam Cruise Pantheon Theater, The High Seas",Available only on the Cruise,,https://soundcloud.com/undermind1978/sets/jrad-2016-01-07-jam-cruise,,http://funkit.virose.net/?p=4977,,Nicole Atkins; Amy Helm,15,0,62
63,2016-02-10 00:00:00,"9.30 Club, Washington, DC",https://archive.org/details/jrad2016-02-10.cmc621.sbd.matrix.flac16,Alex Leary,https://archive.org/details/jrad2016-02-10,https://archive.org/details/jrad2016-02-10.cmc621.sbd.matrix.flac16,,,Jon Shaw replaces DD,15,0,63
64,2016-02-11 00:00:00,"College St Music Hall, New Haven, CT",,Scott Medeiros,https://archive.org/details/JRAD2016-02-11.JoeRussosAlmostDeadCollegeStMusicHallNewHavenCT,,,,"Jon Shaw replaces DD; plus Stuart Bogie (Sax, Bass Harmonica, Clarinet, Flute)",14,0,64
